Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
2001:1890:1c4e:1800::/56,"FACEBOOK,INC",C07879353,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879353,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:800::/56,"FACEBOOK,INC",C07879385,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879385,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:900::/56,"FACEBOOK,INC",C07879408,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879408,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:a00::/56,"FACEBOOK,INC",C07879409,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879409,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:b00::/56,"FACEBOOK,INC",C07879342,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879342,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:e00::/56,"FACEBOOK,INC",C07879420,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879420,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:1c4e:f00::/56,"FACEBOOK,INC",C07879386,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879386,"50 NE 9TH STREET, MIAMI, United States, 33131",
12.48.164.128/26,"FACEBOOK,INC",C08024929,customer,60,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C08024929,"50 NE 9TH ST, MIAMI, United States, 33132",
12.48.164.80/29,"FACEBOOK,INC",C08024925,customer,60,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C08024925,"50 NE 9TH ST, MIAMI, United States, 33132",
12.1.137.248/29,FACEBOOK21-137-248,NET-12-1-137-248-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-1-137-248-1,,
12.10.18.32/29,FACEBOOK71-18-32,NET-12-10-18-32-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-10-18-32-1,,
12.10.40.112/28,FACEBOOK92-40-112,NET-12-10-40-112-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-10-40-112-1,,
12.10.40.16/28,FACEBOOK91-40-16,NET-12-10-40-16-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-10-40-16-1,,
12.109.231.64/29,FACEBOOK25-231-64,NET-12-109-231-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-109-231-64-1,,
12.129.142.0/26,FACEBOOK90-142-0,NET-12-129-142-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-129-142-0-1,,
12.13.37.192/27,FACEBOOK10-37-192,NET-12-13-37-192-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-13-37-192-1,,
12.13.8.96/29,FACEBOOK14-8-96,NET-12-13-8-96-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-13-8-96-1,,
12.138.151.200/29,FACEBOOK01-151-200,NET-12-138-151-200-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-138-151-200-1,,
12.138.222.8/29,FACEBOOK22-222-8,NET-12-138-222-8-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-138-222-8-1,,
12.138.93.24/29,FACEBOOK58-93-24,NET-12-138-93-24-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-138-93-24-1,,
12.14.115.128/26,FACEBOOK24-115-128,NET-12-14-115-128-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-14-115-128-1,,
12.14.115.80/29,FACEBOOK24-115-80,NET-12-14-115-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-14-115-80-1,,
12.146.116.192/29,FACEBOOK45-116-192,NET-12-146-116-192-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-146-116-192-1,,
12.151.178.168/29,FACEBOOK21-178-168,NET-12-151-178-168-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-151-178-168-1,,
12.151.33.184/29,FACEBOOK43-33-184,NET-12-151-33-184-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-151-33-184-1,,
12.151.44.136/29,FACEBOOK24-44-136,NET-12-151-44-136-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-151-44-136-1,,
12.151.44.160/28,FACEBOOK47-44-160,NET-12-151-44-160-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-151-44-160-1,,
12.152.33.176/28,FACEBOOK53-33-176,NET-12-152-33-176-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-152-33-176-1,,
12.156.66.32/29,FACEBOOK52-66-32,NET-12-156-66-32-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-156-66-32-1,,
12.163.75.160/28,FACEBOOK14-75-160,NET-12-163-75-160-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-163-75-160-1,,
12.166.142.64/29,FACEBOOK54-142-64,NET-12-166-142-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-166-142-64-1,,
12.167.198.192/26,FACEBOOK73-198-192,NET-12-167-198-192-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-167-198-192-1,,
12.168.254.72/29,FACEBOOK51-254-72,NET-12-168-254-72-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-168-254-72-1,,
12.17.208.0/26,FACEBOOK84-208-0,NET-12-17-208-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-17-208-0-1,,
12.17.80.112/29,FACEBOOK74-80-112,NET-12-17-80-112-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-17-80-112-1,,
12.170.221.32/29,FACEBOOK83-221-32,NET-12-170-221-32-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-170-221-32-1,,
12.184.212.64/32,FACEBOOK51-212-64,NET-12-184-212-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-184-212-64-1,,
12.185.208.80/29,FACEBOOK70-208-80,NET-12-185-208-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-185-208-80-1,,
12.185.209.0/26,FACEBOOK13-209-0,NET-12-185-209-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-185-209-0-1,,
12.185.65.224/29,FACEBOOK42-65-224,NET-12-185-65-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-185-65-224-1,,
12.186.17.232/29,FACEBOOK81-17-232,NET-12-186-17-232-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-186-17-232-1,,
12.188.205.152/29,FACEBOOK91-205-152,NET-12-188-205-152-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-188-205-152-1,,
12.188.228.64/26,FACEBOOK84-228-64,NET-12-188-228-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-188-228-64-1,,
12.191.126.248/29,FACEBOOK10-126-248,NET-12-191-126-248-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-191-126-248-1,,
12.192.168.128/26,FACEBOOK76-168-128,NET-12-192-168-128-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-192-168-128-1,,
12.20.59.224/27,FACEBOOK59-59-224,NET-12-20-59-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-20-59-224-1,,
12.201.0.0/29,FACEBOOK43-0-0,NET-12-201-0-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-201-0-0-1,,
12.203.152.160/28,FACEBOOK13-152-160,NET-12-203-152-160-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-203-152-160-1,,
12.203.59.96/29,FACEBOOK44-59-96,NET-12-203-59-96-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-203-59-96-1,,
12.206.216.80/28,FACEBOOK85-216-80,NET-12-206-216-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-206-216-80-1,,
12.208.230.160/28,FACEBOOK51-230-160,NET-12-208-230-160-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-208-230-160-1,,
12.215.202.104/29,FACEBOOK83-202-104,NET-12-215-202-104-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-215-202-104-1,,
12.215.202.8/32,FACEBOOK43-202-8,NET-12-215-202-8-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-215-202-8-1,,
12.215.224.128/26,FACEBOOK13-224-128,NET-12-215-224-128-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-215-224-128-1,,
12.215.250.128/26,FACEBOOK84-250-128,NET-12-215-250-128-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-215-250-128-1,,
12.215.252.64/26,FACEBOOK54-252-64,NET-12-215-252-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-215-252-64-1,,
12.216.209.160/29,FACEBOOK54-209-160,NET-12-216-209-160-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-216-209-160-1,,
12.216.234.216/29,FACEBOOK94-234-216,NET-12-216-234-216-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-216-234-216-1,,
12.219.101.16/29,FACEBOOK44-101-16,NET-12-219-101-16-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-219-101-16-1,,
12.221.71.64/28,FACEBOOK41-71-64,NET-12-221-71-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-221-71-64-1,,
12.227.236.8/29,FACEBOOK85-236-8,NET-12-227-236-8-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-227-236-8-1,,
12.23.1.200/29,FACEBOOK35-1-200,NET-12-23-1-200-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-23-1-200-1,,
12.23.1.224/29,FACEBOOK35-1-224,NET-12-23-1-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-23-1-224-1,,
12.23.1.232/29,FACEBOOK61-1-232,NET-12-23-1-232-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-23-1-232-1,,
12.23.74.232/29,FACEBOOK94-74-232,NET-12-23-74-232-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-23-74-232-1,,
12.234.120.208/29,FACEBOOK31-120-208,NET-12-234-120-208-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-234-120-208-1,,
12.234.121.0/26,FACEBOOK31-121-0,NET-12-234-121-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-234-121-0-1,,
12.234.121.192/26,FACEBOOK76-121-192,NET-12-234-121-192-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-234-121-192-1,,
12.235.140.0/29,FACEBOOK31-140-0,NET-12-235-140-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-235-140-0-1,,
12.24.198.216/29,FACEBOOK41-198-216,NET-12-24-198-216-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-24-198-216-1,,
12.24.224.216/29,FACEBOOK25-224-216,NET-12-24-224-216-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-24-224-216-1,,
12.24.224.224/29,FACEBOOK25-224-224,NET-12-24-224-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-24-224-224-1,,
12.27.160.104/29,FACEBOOK15-160-104,NET-12-27-160-104-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-27-160-104-1,,
12.28.174.224/28,FACEBOOK55-174-224,NET-12-28-174-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-28-174-224-1,,
12.29.186.96/29,FACEBOOK24-186-96,NET-12-29-186-96-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-29-186-96-1,,
12.30.246.80/29,FACEBOOK94-246-80,NET-12-30-246-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-30-246-80-1,,
12.32.118.120/29,FACEBOOK64-118-120,NET-12-32-118-120-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-32-118-120-1,,
12.32.118.80/29,FACEBOOK43-118-80,NET-12-32-118-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-32-118-80-1,,
12.38.208.224/29,FACEBOOK35-208-224,NET-12-38-208-224-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-38-208-224-1,,
12.42.218.112/32,FACEBOOK64-218-112,NET-12-42-218-112-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-42-218-112-1,,
12.42.220.144/32,FACEBOOK51-220-144,NET-12-42-220-144-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-42-220-144-1,,
12.43.180.24/29,FACEBOOK35-180-24,NET-12-43-180-24-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-43-180-24-1,,
12.43.180.8/29,FACEBOOK23-180-8,NET-12-43-180-8-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-43-180-8-1,,
12.44.203.16/29,FACEBOOK05-203-16,NET-12-44-203-16-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-44-203-16-1,,
