Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
65.207.73.64/26,MICROSOFT CORPORATION,C02921776,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C02921776,"12012 SUNSET HILLS RD 100, RESTON, United States, 20190",
65.209.43.224/28,MICROSOFT,C05015303,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05015303,"2000 ROUTE 38, CHERRY, CHERRY HILL, United States, 08002-2100",
65.210.80.0/26,MICROSOFT CORPORATION,C02744768,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C02744768,"5404 WISCONSIN AVE 600, CHEVY CHASE, United States, 20815-3573",
65.211.27.32/28,MICROSOFT CORPORATION,C06616458,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C06616458,"21691 FILIGREE CT, ASHBURN, United States, 20147",
65.223.48.240/29,MICROSOFT CORPORATION,C05692274,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05692274,"350 W HILLCREST DR, THOUSAND OAKS, United States, 91360-4216",
65.246.0.176/29,Microsoft Corporation,C05670010,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05670010,"10300 LITTLE PATUXENT PKWY, COLUMBIA, United States, 21044-3341",
65.68.62.152/29,Microsoft,C00168056,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C00168056,"7000 Valley View Ln, Irving, United States, 75039",
66.136.85.192/29,Microsoft,C00446770,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C00446770,"1701 Alma St., Plano, United States, 75075",
66.251.23.216/30,MICROSOFT CORP,C05693584,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05693584,"1400 WILLOWBROOK MALL, WAYNE, United States, 07470-6905",
66.46.125.192/27,MICROSOFT CORPORATION,C04871358,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C04871358,"Metropolis at Metrotown, CRU-M12, #230 - 4800 Kingsway, Burnaby, Canada, V5H 4J2",
66.46.125.224/27,MICROSOFT-CORPORATION,C04871353,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C04871353,"Metropolis, Metrotown, CRU-M12, 230 - 4800, Kingsway, Burnaby, Canada, V5H 4J2",
67.112.255.144/29,Microsoft Corporation,C00461593,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C00461593,"268 Bush St, San Francisco, United States, 94104",
67.212.138.0/28,Microsoft BizSpark,C02483948,customer,85,"Customer, no company name and extension match, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C02483948,"1 Microsoft Way, Redmond, United States, 98052",
67.39.208.168/29,MICROSOFT,C00313928,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C00313928,"2701 West 15th Street PMB 236, Plano, United States, 75075",
67.79.35.120/29,MICROSOFT,C07175866,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07175866,"401 E SONTERRA BLVD STE 300 NATIONAL, SAN ANTONIO, United States, 78258",
68.188.29.64/26,MICROSOFT,C02570623,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C02570623,"3 CITYPLACE DR, STE 1100, Use as many Customer Address lines as needed to specify, SAINT LOUIS, United States, 63141",
68.90.141.72/29,Microsoft Corp,C00697365,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C00697365,"1701 Alma St., Plano, United States, 75075",
69.71.60.96/29,Microsoft Corporation,C07021410,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07021410,"One Microsoft WAy, Redmond, United States, 98052",
72.20.142.64/29,Microsoft Corporation,C05961623,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05961623,"2000 W Sam Houston Pkwy S, Suite 350, Houston, United States, 77042",
72.44.192.168/29,Microsoft Corporation,C07021411,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07021411,"One Microsoft WAy, Redmond, United States, 98052",
72.44.220.16/29,Microsoft Corporation,C07021412,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07021412,"One Microsoft WAy, Redmond, United States, 98052",
74.104.143.96/28,MICROSOFT CORPORATION,C02438256,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C02438256,"201 JONES, WAL, United States, 02451",
74.113.218.96/27,Microsoft,C07381619,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07381619,"3950 S Las Vegas Blvd, Las Vegas, United States, 89119",
74.113.220.0/28,Microsoft,C07301021,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07301021,"3600 S Las Vegas Blvd, Las Vegas, United States, 89109",
76.81.204.216/29,MICROSOFT,C07175868,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07175868,"454 SEAWARD RD SMB, CORONA DEL MAR, United States, 92625",
13.107.12.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.128.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.129.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.13.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.137.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.139.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.140.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.15.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.16.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.18.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.19.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.21.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.22.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.254.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.3.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.39.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.4.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.40.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.42.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.43.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.48.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.49.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.5.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.50.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.51.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.52.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.54.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.56.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.6.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.7.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
13.107.9.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
131.107.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
131.253.21.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
131.253.3.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
131.253.33.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
150.171.32.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
150.171.41.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
150.171.43.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
150.171.44.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
151.207.40.0/22,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
151.207.44.0/22,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
157.54.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
157.57.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
157.58.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
157.59.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
157.60.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
167.220.0.0/16,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
170.110.229.0/24,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
170.110.247.0/24,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
194.69.96.0/19,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
198.105.232.0/22,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
199.2.137.0/24,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
204.79.197.0/24,Microsoft Corporation,AS8068,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS8068,,
2404:f801::/32,Microsoft Corporation,AS3598,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS3598,,
2608:1c1:6::/48,Microsoft Corporation,AS12076,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS12076,,
